split,featureset,cycle,confA,confB,n_estimators,max_features,max_depth,max_samples,criterion
instance,f2f,12,tree_gpw,gpw_gpw,200,8,8,0.1,entropy
instance,f2f,12,tree_gpw,ggt_mdd,200,4,31,0.62,gini
instance,f2f,12,gpw_gpw,ggt_mdd,200,8,8,0.1,entropy
class,f2fsr,12,gpw_tree,tree_gpw,200,6,6,0.384,gini
class,f2fsr,12,gpw_tree,gpw_gpw,200,4,5,0.242,entropy
class,f2fsr,12,gpw_tree,mdd_tree,200,8,19,0.81,gini
class,f2fsr,12,gpw_tree,swc_swc,200,8,2,0.715,gini
class,f2fsr,12,tree_gpw,gpw_gpw,200,5,25,0.668,gini
class,f2fsr,12,tree_gpw,mdd_tree,200,7,26,0.999,gini
class,f2fsr,12,tree_gpw,swc_swc,200,6,2,0.857,entropy
class,f2fsr,12,gpw_gpw,mdd_tree,200,8,2,0.715,gini
class,f2fsr,12,gpw_gpw,swc_swc,200,6,2,0.857,entropy
class,f2fsr,12,mdd_tree,swc_swc,200,6,2,0.81,gini
instance,f2fsr,12,swc_gpw,gpw_tree,200,4,5,0.242,entropy
instance,f2fsr,12,swc_gpw,tree_gpw,200,5,14,0.147,gini
instance,f2fsr,12,swc_gpw,gpw_gpw,200,4,29,0.1,gini
instance,f2fsr,12,swc_gpw,ggt_mdd,200,5,6,0.289,gini
instance,f2fsr,12,gpw_tree,tree_gpw,200,4,29,0.1,gini
instance,f2fsr,12,gpw_tree,gpw_gpw,200,4,29,0.1,gini
instance,f2fsr,12,gpw_tree,ggt_mdd,200,6,2,0.857,entropy
instance,f2fsr,12,tree_gpw,gpw_gpw,200,8,2,0.715,gini
instance,f2fsr,12,tree_gpw,ggt_mdd,200,5,31,0.668,entropy
instance,f2fsr,12,gpw_gpw,ggt_mdd,200,5,25,0.668,gini
class,sumpb,12,gpw_tree,tree_gpw,200,7,9,0.762,entropy
class,sumpb,12,gpw_tree,gpw_gpw,200,5,21,0.289,entropy
class,sumpb,12,gpw_tree,mdd_tree,200,6,2,0.762,gini
class,sumpb,12,gpw_tree,swc_swc,200,6,2,0.81,gini
class,sumpb,12,tree_gpw,gpw_gpw,200,5,14,0.147,gini
class,sumpb,12,tree_gpw,mdd_tree,200,4,7,0.715,gini
class,sumpb,12,tree_gpw,swc_swc,200,9,6,0.147,entropy
class,sumpb,12,gpw_gpw,mdd_tree,200,8,19,0.81,gini
class,sumpb,12,gpw_gpw,swc_swc,200,5,14,0.147,gini
class,sumpb,12,mdd_tree,swc_swc,200,6,2,0.857,entropy
instance,sumpb,12,swc_gpw,gpw_tree,200,7,3,0.952,gini
instance,sumpb,12,swc_gpw,tree_gpw,200,9,18,0.195,entropy
instance,sumpb,12,swc_gpw,gpw_gpw,200,5,37,0.147,entropy
instance,sumpb,12,swc_gpw,ggt_mdd,200,5,14,0.147,gini
instance,sumpb,12,gpw_tree,tree_gpw,200,9,6,0.147,entropy
instance,sumpb,12,gpw_tree,gpw_gpw,200,4,29,0.1,gini
instance,sumpb,12,gpw_tree,ggt_mdd,200,6,39,0.289,gini
instance,sumpb,12,tree_gpw,gpw_gpw,200,7,26,0.999,gini
instance,sumpb,12,tree_gpw,ggt_mdd,200,6,13,0.904,gini
instance,sumpb,12,gpw_gpw,ggt_mdd,200,5,14,0.147,gini
class,combi,13,gpw_tree,tree_gpw,200,7,2,0.857,entropy
class,combi,13,gpw_tree,gpw_gpw,200,7,3,0.1,gini
class,combi,13,gpw_tree,mdd_tree,200,6,2,0.431,gini
class,combi,13,gpw_tree,swc_swc,200,7,2,0.857,entropy
class,combi,13,tree_gpw,gpw_gpw,200,9,28,0.431,gini
class,combi,13,tree_gpw,mdd_tree,200,13,32,0.337,gini
class,combi,13,tree_gpw,swc_swc,200,7,2,0.857,entropy
class,combi,13,gpw_gpw,mdd_tree,200,12,31,0.1,entropy
class,combi,13,gpw_gpw,swc_swc,200,6,2,0.431,gini
class,combi,13,mdd_tree,swc_swc,200,7,3,0.1,gini
instance,combi,13,tree_tree,gpw_gpw,200,7,3,0.1,gini
instance,combi,13,tree_tree,gpw_tree,200,6,2,0.431,gini
instance,combi,13,tree_tree,swc_gpw,200,12,31,0.1,entropy
instance,combi,13,tree_tree,ggt_mdd,200,12,31,0.1,entropy
instance,combi,13,gpw_gpw,gpw_tree,200,7,3,0.1,gini
instance,combi,13,gpw_gpw,swc_gpw,200,10,30,0.904,entropy
instance,combi,13,gpw_gpw,ggt_mdd,200,10,39,0.384,gini
instance,combi,13,gpw_tree,swc_gpw,200,7,2,0.857,entropy
instance,combi,13,gpw_tree,ggt_mdd,200,7,2,0.857,entropy
instance,combi,13,swc_gpw,ggt_mdd,200,10,39,0.384,gini
class,f2f,13,gpw_tree,tree_gpw,200,4,3,0.952,entropy
class,f2f,13,gpw_tree,gpw_gpw,200,9,33,0.195,entropy
class,f2f,13,gpw_tree,mdd_tree,200,5,2,0.431,gini
class,f2f,13,gpw_tree,swc_swc,200,7,35,0.904,gini
class,f2f,13,tree_gpw,gpw_gpw,200,5,33,0.289,entropy
class,f2f,13,tree_gpw,mdd_tree,200,9,30,0.384,gini
class,f2f,13,tree_gpw,swc_swc,200,5,2,0.857,entropy
class,f2f,13,gpw_gpw,mdd_tree,200,5,2,0.431,gini
class,f2f,13,gpw_gpw,swc_swc,200,5,2,0.857,entropy
